,set,unit,cycle,T24,T30,T48,T50,P15,P2,P21,P24,Ps30,P40,P50,Nf,Nc,Wf
2469,DS08c,7.0,49.0,0.02188429,0.069255136,0.01459924,0.1324884,0.04108334,0.14518847,0.021776086,0.09937602,0.02482527,0.15515772,0.021314977,0.120935686,0.041586474,0.09052879
2470,DS08c,7.0,50.0,0.017108459,0.07944765,0.01476911,0.12165991,0.04885522,0.14561643,0.020072406,0.11262649,0.011324738,0.14929332,0.019978385,0.109615326,0.04906447,0.100568116
2471,DS08c,7.0,51.0,0.010544073,0.14752693,0.004122635,0.15878186,0.01279135,0.11616238,0.007147561,0.13468266,0.011057906,0.12504965,0.007206587,0.14770164,0.012586706,0.10463812
2472,DS08c,7.0,52.0,0.017889468,0.07934895,0.008106909,0.12328375,0.030948462,0.14217149,0.01256272,0.1384001,0.019351233,0.14887877,0.012771041,0.113949336,0.030680163,0.12165761
2473,DS08c,7.0,53.0,0.0061493684,0.13332857,0.0022177482,0.18669951,0.004946511,0.120218776,0.0049536712,0.10551081,0.0068530357,0.12681802,0.0050951396,0.1805581,0.004683617,0.11196719
2474,DS08c,7.0,54.0,0.012671888,0.09471257,0.0030183718,0.13290444,0.010282143,0.13885915,0.0051673474,0.17075388,0.012388771,0.14132923,0.005253316,0.12722786,0.010121756,0.13530937
2475,DS08c,8.0,1.0,0.01521375,0.05632481,0.02892253,0.058512602,0.05549375,0.049868707,0.047238536,0.20967047,0.04946989,0.050774124,0.048901018,0.057523236,0.052236937,0.21984975
2476,DS08c,8.0,2.0,0.011575259,0.083890505,0.032920387,0.08176903,0.051697485,0.048155066,0.042578906,0.17558613,0.047475785,0.0488493,0.04398332,0.08078704,0.04836618,0.20236562
2477,DS08c,8.0,3.0,0.012547066,0.06426509,0.032432675,0.06587098,0.054281734,0.045954503,0.045375235,0.20135811,0.0488051,0.0469374,0.0469537,0.06451558,0.050310843,0.22039193
2478,DS08c,8.0,4.0,0.012066174,0.07295917,0.02353622,0.075048506,0.051178712,0.047774125,0.040775623,0.19567648,0.046655197,0.048330825,0.042226326,0.07287989,0.043929655,0.22696315
2479,DS08c,8.0,5.0,0.009276653,0.075038984,0.037225064,0.0737545,0.05492276,0.043947585,0.048689142,0.18389666,0.050105654,0.04514516,0.05026123,0.07270054,0.051844448,0.20319173
2480,DS08c,8.0,6.0,0.012729265,0.06141557,0.03684592,0.062731676,0.05637751,0.046711337,0.04915938,0.20097649,0.049955215,0.04782835,0.050794143,0.061670884,0.053226423,0.20957784
2481,DS08c,8.0,7.0,0.028167149,0.047287565,0.049794443,0.04999224,0.069125265,0.04432387,0.0741152,0.17608644,0.059292395,0.044872794,0.075356975,0.04973759,0.06591428,0.16593376
2482,DS08c,8.0,8.0,0.021251835,0.041100983,0.040403098,0.043359015,0.06399519,0.041999254,0.060474403,0.21137093,0.056551654,0.04247349,0.062127322,0.04263262,0.05992073,0.21233955
2483,DS08c,8.0,9.0,0.022150094,0.055085804,0.042157434,0.05674662,0.06288337,0.047671862,0.05943252,0.18827803,0.05353568,0.04887492,0.06118488,0.05551274,0.058871537,0.18761456
2484,DS08c,8.0,10.0,0.04879475,0.03996339,0.060145594,0.038281247,0.0811545,0.046598297,0.08802986,0.15178889,0.06151522,0.0467206,0.089191094,0.038617514,0.07835202,0.13084699
2485,DS08c,8.0,11.0,0.021566613,0.03698375,0.042140625,0.03737865,0.06381905,0.03920423,0.06267586,0.22031064,0.057699617,0.0393892,0.06396258,0.037234604,0.061222214,0.21641256
