,set,unit,cycle,T24,T30,T48,T50,P15,P2,P21,P24,Ps30,P40,P50,Nf,Nc,Wf
821,DS03,15.0,4.0,0.0655158,0.068710335,0.10195368,0.036873695,0.07600872,0.059659943,0.11920724,0.03173507,0.08076083,0.06634633,0.09587699,0.038952623,0.11293352,0.045465227
822,DS03,15.0,5.0,0.06849485,0.06889474,0.0927173,0.047426824,0.08153861,0.055989992,0.10164388,0.037715774,0.08187846,0.06994449,0.09287051,0.049545772,0.102421895,0.0489169
823,DS03,15.0,6.0,0.12305715,0.07247882,0.13192321,0.024700608,0.067716956,0.03919717,0.11207657,0.021699483,0.071569785,0.040631156,0.1248659,0.027762404,0.11292087,0.02939991
824,DS03,15.0,7.0,0.14500421,0.06582062,0.11954016,0.024429739,0.059068207,0.0460561,0.114177264,0.033996988,0.06319155,0.04260809,0.108020745,0.036367636,0.10259164,0.039127048
825,DS03,15.0,8.0,0.080638364,0.05562651,0.102441385,0.042266533,0.0882447,0.050776403,0.10355102,0.037609342,0.089630194,0.057319634,0.10137637,0.044328216,0.09954304,0.04664829
826,DS03,15.0,9.0,0.06716665,0.049709007,0.091623604,0.038451556,0.06919446,0.055450153,0.11617263,0.052171584,0.069683105,0.0618993,0.09181389,0.060367838,0.1267861,0.049510125
827,DS03,15.0,10.0,0.06624316,0.060417738,0.091612376,0.043433465,0.08236475,0.05326764,0.10988376,0.03860557,0.082953766,0.07016771,0.09204832,0.049671773,0.11262807,0.0467019
828,DS03,15.0,11.0,0.07001117,0.061711654,0.09982139,0.04224344,0.076741524,0.050032314,0.1160698,0.035981502,0.07683691,0.057541814,0.0995761,0.04905068,0.12248943,0.04189226
829,DS03,15.0,12.0,0.05394081,0.07419691,0.083189026,0.052478507,0.080135725,0.061463088,0.10587485,0.03842055,0.08071693,0.0763288,0.08231744,0.05636291,0.10348125,0.051093202
830,DS03,15.0,13.0,0.085025035,0.07397163,0.10973106,0.0386046,0.06901,0.054599438,0.10314949,0.03427468,0.07057342,0.058790114,0.1068785,0.041616082,0.10850889,0.04526706
831,DS03,15.0,14.0,0.062251244,0.07488093,0.10009386,0.042409975,0.07340194,0.055375833,0.11640575,0.030213894,0.07376933,0.06369929,0.09922092,0.048574414,0.12121699,0.038485646
832,DS03,15.0,15.0,0.052153446,0.0523733,0.07657851,0.045071397,0.08036731,0.053780396,0.12640165,0.055433013,0.081340335,0.067126125,0.07680297,0.062487323,0.117398076,0.052686132
833,DS03,15.0,16.0,0.0682414,0.047822926,0.08538525,0.038059063,0.08912405,0.048303887,0.10487961,0.06275299,0.090455055,0.062224913,0.08598176,0.061754793,0.10130769,0.053706594
834,DS03,15.0,17.0,0.06155492,0.05777975,0.083221324,0.043073595,0.08763712,0.049122263,0.11370693,0.04925518,0.08822917,0.06414302,0.084046885,0.058617186,0.11153857,0.0480741
835,DS03,15.0,18.0,0.059523765,0.04324059,0.080036394,0.04191879,0.085330516,0.045642264,0.12660502,0.05938247,0.08564435,0.060436916,0.082017526,0.05705988,0.12055875,0.052602768
836,DS03,15.0,19.0,0.051431082,0.04682995,0.07466386,0.048800148,0.07594162,0.054000646,0.12258981,0.07868148,0.07625543,0.054644883,0.075606115,0.0761186,0.10650295,0.05793342
837,DS03,15.0,20.0,0.076694645,0.044809774,0.09296427,0.0399076,0.09539138,0.043924704,0.10212023,0.0665004,0.09629341,0.04784079,0.09323939,0.06243003,0.08722353,0.05065985
838,DS03,15.0,21.0,0.06673477,0.058452275,0.08308618,0.04190117,0.09013436,0.052394867,0.092188895,0.077809654,0.09108925,0.05305908,0.083521195,0.07428811,0.0781539,0.05718629
839,DS03,15.0,22.0,0.043722685,0.073605426,0.075000584,0.066796,0.07056084,0.084808774,0.06191201,0.09682852,0.0701401,0.053670403,0.07547088,0.09388655,0.051032774,0.08256445
840,DS03,15.0,23.0,0.07852975,0.04433782,0.09222187,0.0393916,0.093594015,0.046913885,0.09560871,0.06439769,0.094322294,0.0550165,0.093278676,0.061605923,0.08843492,0.052346334
841,DS03,15.0,24.0,0.043098457,0.08275274,0.06398348,0.07181643,0.06452144,0.091426544,0.051906012,0.10518991,0.06397305,0.060214523,0.064453565,0.10295285,0.043348406,0.0903626
842,DS03,15.0,25.0,0.036903534,0.050055522,0.06423596,0.055458568,0.06528156,0.06284665,0.1266637,0.08916588,0.065243155,0.05712956,0.06586745,0.08488379,0.10977353,0.066491134
843,DS03,15.0,26.0,0.03347111,0.060485,0.09600934,0.05751216,0.098411925,0.08165957,0.07872715,0.06504445,0.0976744,0.03091383,0.09209914,0.06603804,0.06686213,0.07509175
844,DS03,15.0,27.0,0.036784794,0.077061445,0.07531123,0.075456515,0.07458985,0.098359175,0.051664222,0.08868063,0.07411341,0.0444328,0.074195504,0.089773044,0.046827834,0.092749536
845,DS03,15.0,28.0,0.033591334,0.073584,0.08955632,0.06266531,0.08357066,0.087121956,0.065912366,0.07759951,0.08440541,0.04094131,0.08658052,0.077946715,0.058146145,0.07837844
846,DS03,15.0,29.0,0.036268223,0.05577205,0.099930726,0.0610138,0.10294987,0.08291115,0.0745343,0.060150295,0.101627484,0.02498649,0.094974585,0.062232617,0.06507206,0.07757635
847,DS03,15.0,30.0,0.0338054,0.07392504,0.0897758,0.061159432,0.08566422,0.08908725,0.05904488,0.07867519,0.08633687,0.04301705,0.086726576,0.07835822,0.05402286,0.08040122
848,DS03,15.0,31.0,0.036790933,0.062002394,0.09376356,0.06841187,0.092665404,0.08755493,0.066362955,0.06901726,0.09172944,0.02898395,0.09016189,0.071258105,0.059071545,0.08222576
849,DS03,15.0,32.0,0.037623197,0.05424751,0.10130835,0.05833769,0.11054123,0.08272203,0.07337811,0.05532835,0.108880945,0.022402206,0.09688352,0.05802602,0.062726684,0.07759414
850,DS03,15.0,33.0,0.03535672,0.064925,0.08813564,0.07633731,0.082068525,0.09276103,0.060774386,0.07825989,0.08123272,0.03329003,0.08470621,0.08064555,0.05404396,0.08746304
851,DS03,15.0,34.0,0.038416695,0.049740504,0.09939899,0.055025954,0.11860886,0.08338715,0.078583434,0.048785925,0.1168213,0.021660693,0.09462655,0.052415535,0.06400964,0.07851876
852,DS03,15.0,35.0,0.03628095,0.053812347,0.09906508,0.054154545,0.11277901,0.078561604,0.08730545,0.050594095,0.111186415,0.02169541,0.094626434,0.05361629,0.07309737,0.07322499
853,DS03,15.0,36.0,0.037475668,0.061564855,0.08986708,0.07472633,0.09047149,0.09334815,0.060290918,0.070188485,0.08944669,0.031122943,0.08617774,0.07426562,0.05323093,0.0878231
854,DS03,15.0,37.0,0.041465323,0.048165552,0.10756198,0.05360277,0.12240197,0.08157509,0.072272845,0.044598516,0.120473914,0.018075448,0.10199257,0.049484733,0.061997365,0.07633193
855,DS03,15.0,38.0,0.04733297,0.037417382,0.11555225,0.0285971,0.16053909,0.07122086,0.08280953,0.019690122,0.15765582,0.009088855,0.11034275,0.026055546,0.066199034,0.06749871
856,DS03,15.0,39.0,0.050345965,0.031252176,0.12195181,0.027964631,0.16100444,0.06952595,0.082843564,0.017069118,0.15811737,0.0072137727,0.11734805,0.022838445,0.066671155,0.065853566
857,DS03,15.0,40.0,0.06604399,0.017589279,0.1346414,0.018521518,0.17220776,0.056631573,0.08611763,0.0068441173,0.16893387,0.006986615,0.13195412,0.0141182095,0.065188825,0.054221105
858,DS03,15.0,41.0,0.058887504,0.022917358,0.1308441,0.018312152,0.1746075,0.061313935,0.08324933,0.007491411,0.17142233,0.004587915,0.12768878,0.014613346,0.065240815,0.058823507
859,DS03,15.0,42.0,0.065647386,0.01779061,0.13814282,0.015274405,0.17682701,0.05392786,0.08590443,0.0050896197,0.17322876,0.003622492,0.13536221,0.012420838,0.06478376,0.05197779
860,DS03,15.0,43.0,0.096067965,0.0054293675,0.18315905,0.007159543,0.16963843,0.017414965,0.08406417,0.0016331963,0.16544789,0.0024564678,0.18258294,0.006381535,0.062187128,0.016377358
861,DS03,15.0,44.0,0.09150995,0.006536561,0.17604047,0.008706472,0.17110969,0.022114169,0.0854609,0.0020233733,0.16703011,0.0027218375,0.17525408,0.0077194655,0.06280208,0.020970859
862,DS03,15.0,45.0,0.1044515,0.0028553074,0.1956268,0.00426267,0.1672982,0.008346358,0.08431818,0.0010153835,0.16257979,0.0014485745,0.19502038,0.0038819674,0.061272923,0.0076219714
863,DS03,15.0,46.0,0.1177281,0.0024072872,0.19953762,0.0033013185,0.16111131,0.0048355055,0.08431606,0.0009731403,0.15599109,0.0015941515,0.2001301,0.0031072143,0.06079579,0.004171328
864,DS03,15.0,47.0,0.11515983,0.0025535622,0.199658,0.0035117315,0.16194825,0.004564366,0.084125675,0.001052798,0.15719388,0.0017327591,0.20023444,0.0033453396,0.061075494,0.0038438754
865,DS03,15.0,48.0,0.12897177,0.0015913545,0.20333862,0.0020310571,0.15662184,0.0021349767,0.084637105,0.0007723697,0.15075698,0.001181806,0.20424764,0.0019790954,0.060107965,0.001627411
866,DS03,15.0,49.0,0.13331904,0.0015786045,0.20342633,0.0018292856,0.15494563,0.0018251499,0.08495341,0.00080317946,0.14851615,0.0013623191,0.20443942,0.0017948818,0.059821345,0.0013852821
867,DS03,15.0,50.0,0.13623105,0.0016214688,0.20310181,0.0018229104,0.15316749,0.0017471187,0.08488039,0.0008137801,0.1468673,0.0014893314,0.20511766,0.0018047686,0.060078707,0.0012562125
868,DS03,15.0,51.0,0.14178528,0.001562727,0.203039,0.0014711799,0.15154056,0.0013926069,0.08575026,0.0007913753,0.14402947,0.0017678903,0.20492652,0.0014709322,0.05945345,0.0010187449
869,DS03,15.0,52.0,0.14480968,0.0013629687,0.20375322,0.0011918151,0.15107337,0.0011223317,0.08632321,0.0006787562,0.14275137,0.001574195,0.20466572,0.0011948408,0.058675516,0.00082302245
870,DS03,15.0,53.0,0.14664464,0.0012308188,0.20385714,0.0010996884,0.150695,0.0010541307,0.086483724,0.0006325692,0.14182845,0.0013767785,0.2049358,0.001106512,0.0582883,0.0007664538
871,DS03,15.0,54.0,0.14740492,0.0013637317,0.2037724,0.0010596033,0.15070245,0.0010440857,0.08688683,0.00067101273,0.14142992,0.0016917042,0.20416792,0.0010697816,0.0579469,0.0007887587
